,Author,Books,Year Published,Pages
1119,Melissa Hall,Beyond the Horizon,1971,950
1120,Michael Patterson,Lovely Bones,1688,2891
1121,Ann Henderson,Forgotten Realm,1912,2238
1122,Derrick Brady,Midnight Serenade,1827,4780
1123,Helen Hernandez,Shac,1618,3411
1124,Kelly Franklin,Twist of Fate,1668,4191
1125,Rosemary Wright,Mirror of Truth,1983,655
1126,Lauren Holland,Wonders of the World,1828,3002
1127,Michael Patterson,Book of Miracles,1959,4769
1128,Rosemary Lucas,Sands of Time,1724,288
1129,Ella Harrison,Road,1844,4935
1130,William Hamilton,Glass Castle,1532,1691
1131,Jeffrey Bowers,Shac,1941,235
1132,Beatrice Ortiz,Mists of Avalon,1978,2155
1133,James Ross,Lost City of Atlantis,1528,1730
1134,Hazel Greer,Silence of the Lambs,1547,4236
1135,Richard Freeman,Lovely Bones,1843,429
1136,Carole Kelly,Clockwork Angel,1960,4821
1137,Diana Terry,Valley of Dreams,1704,3303
1138,Randy Parker,Enchanted Princess,2008,2838
1139,Maria Webb,Emerald City,1686,448
1140,Robert Barrett,Witch of Blackbird Pond,1747,4324
1141,John Ryan,Maze Runner,1995,3339
1142,Patrick Hall,Tears of the Moon,1574,236
1143,Kimberly Medina,Witching Hour,1810,3327
1144,Anthony Lee,Moonlit Path,1898,3107
1145,Barbara Farmer,Twist of Fate,1892,3672
1146,Wendy Walton,Blood Red Rose,1929,1724
1147,Wendy Walton,Maze Runner,1919,1886
1148,Juan Thompson,Help,1897,4097
1149,Ann Henderson,Emerald City,1987,2805
1150,Ernest Torres,Crown of Thorns,1531,617
1151,Lisa Rios,Book of Miracles,1626,2139
1152,Tracey Walker,Glass Castle,1670,203
1153,Leah Manning,Night Circus,1774,4701
1154,Ella Harrison,Cursed Castle,1554,1189
1155,Rosemary Lucas,Lord of the Rings,1672,1984
1156,Rosemary Lucas,Dragon's Roar,1566,4691
1157,Mary Abbott,Lighthouse Keeper,1607,4026
1158,Jessie Bowman,Fault in Our Stars,1672,1697
1159,Jeffrey Bowers,Witching Hour,1963,4158
1160,Rosemary Lucas,Midnight Serenade,1663,631
1161,Lydia Martinez,Beneath the Silver Moon,1730,2804
1162,Kevin Ellis,Lost City of Atlantis,1931,698
1163,Michael Martinez,Tears of a Clown,1890,842
1164,Ann Henderson,Warrior's Heart,1995,805
1165,Wendy Walton,In the Arms of the Sea,1914,4305
1166,Jacqueline Brown,Knight's Code,1943,2617
1167,Edward May,Echoes of the Past,1950,3131
1168,James Ross,Beneath the Silver Moon,1641,447
1169,Jeffrey Williams,Girl on the Train,1554,2042
1170,John Ryan,Queen's Necklace,1569,1839
1171,Tyrone Evans,Help,1890,161
1172,Diane Robbins,Hunger Games,1877,345
1173,Melissa Hall,Golden Child,1714,783
1174,William Doyle,Mask of Deception,1894,4722
1175,Christine Miles,Girl with the Sapphire Eyes,1787,3950
1176,Laura Hernandez,Giver,1963,4896
1177,Richard Garcia,Lost City of Atlantis,1977,2334
1178,Delores Brown,Tears of the Moon,1527,3470
1179,John Thomas,Catcher in the Rye,1937,4607
1180,Patricia Meyer,Golden Compass,1787,1253
1181,Diane Robbins,Secret Society,1940,1719
1182,Edward May,Silver Lining,1671,1026
1183,Diana Terry,Lost City of Atlantis,1922,3405
1184,Daniel Craig,Alchemist,1931,3121
1185,Rosemary Lucas,Help,1937,3748
1186,Helen Hernandez,Mirror of Truth,1546,2759
1187,Nancy Horton,Dragon's Eye,1743,2849
1188,Leonard Stevenson,Dragon's Eye,1974,3730
1189,Wendy Walton,Mists of Avalon,1984,4317
1190,Victoria Brown,Song of Achilles,1559,597
1191,Michael Patterson,Beneath the Silver Moon,1624,531
1192,Mary Graham,Blood of Our Fathers,1743,4376
1193,Lydia Martinez,Mists of Avalon,1776,3415
1194,James Hill,Fire Within,1511,796
1195,Tracey Walker,Ruby Red Door,1789,4755
1196,John Thomas,Midnight Carnival,1976,1904
1197,Leah Manning,Lord of the Rings,1725,4794
1198,Bernard Brown,Silence of the Lambs,1892,1892
1199,Wilma Jackson,Night Circus,1504,881
1200,John Ryan,Last Train Home,1503,1548
1201,Albert Mills,Tears of a Clown,1951,2998
1202,Paul White,Silver Lining,1849,4077
1203,Diane Robbins,Alchemist,1579,4364
1204,Hazel Greer,Silent Forest,1513,3945
1205,Derrick Brady,Emerald Isle,1638,3008
1206,Dana Huff,Great Gatsby,2016,1920
1207,Deanna Owens,Last Train Home,1679,3606
1208,Thomas Cain,Beyond the Horizon,1695,1517
1209,William Doyle,Enchanted Princess,1924,1730
1210,Melissa Hall,Dragon's Roar,1944,3697
1211,Jessie Bowman,Witch of Blackbird Pond,1583,4021
1212,Carole Kelly,Midnight Garden,1605,606
1213,Daniel Craig,Beneath the Silver Moon,1611,1737
1214,Sandra Craig,Enchanted Castle,1770,528
1215,Kelly Franklin,Emerald City,1716,3108
1216,Jessie Bowman,Tears of the Moon,1862,1318
1217,Albert Mills,Shadows of the Night,1750,2083
1218,Linda Ward,Hunger Games,1516,3710
1219,Derrick Brady,Midnight Garden,1531,2914
1220,Rosemary Wright,Lost City of Atlantis,1864,1037
1221,Janet Baldwin,Forbidden Forest,1907,200
1222,Victor Davis,Ruby Red Door,1884,1209
1223,Kenneth May,Fire Within,1973,231
1224,Deanna Owens,Lost City of Atlantis,1684,3609
1225,Albert Mills,Art of Deception,1723,1465
1226,Ernest Torres,Enchanted Princess,1567,2977
1227,Nancy Horton,Beyond the Horizon,1556,1173
1228,Richard Freeman,Last Train Home,1754,1820
1229,Nancy Horton,Curse of the Pharaohs,1785,1520
1230,Richard Freeman,Alchemist,1700,350
1231,Victoria Brown,Whispers in the Dark,1620,1270
1232,Robert Barrett,Blood Red Rose,1605,479
1233,Paul Graham,Handmaid's Tale,1861,4205
1234,Gregory Gibbs,Tears of a Clown,2013,1209
1235,Paul White,Girl with the Dragon Tattoo,1670,209
1236,Kenneth May,Witch of Blackbird Pond,1536,3604
1237,Patricia Simpson,Lovely Bones,1546,1324
1238,Kenneth May,Fire Within,1864,3227
1239,Patricia Simpson,Kite Runner,1511,4474
1240,Daniel Craig,Giver,1868,966
1241,Diane Robbins,Beyond the Horizon,1995,313
1242,Richard Freeman,Alchemist,1659,4634
1243,Ashley Doyle,Alchemist,1777,4475
1244,Eric Davis,Girl with the Sapphire Eyes,1889,4941
1245,Howard Jenkins,Lighthouse Keeper,1920,3762
1246,Kevin Ellis,Song of Achilles,1514,1381
1247,Michael Smith,Witch of Blackbird Pond,1579,4403
1248,Barbara Farmer,Blood Red Rose,1783,279
1249,Kelly Franklin,Twist of Fate,1772,4722
1250,Linda Ward,Phantom of the Opera,1565,3929
1251,Sherry Bennett,Secrets We Keep,1585,622
1252,Rosemary Lucas,Tears of the Moon,1887,3418
1253,William Ortiz,Rising Sun,1784,1410
1254,Patricia Meyer,Witch of Blackbird Pond,2017,4888
1255,Eric Davis,Secret Life of Bees,1967,468
1256,Megan Knight,Forbidden Forest,1731,2473
1257,William Hamilton,Book of Miracles,1578,2558
1258,Leah Manning,Cursed Castle,1903,168
1259,Wayne Morrison,Clockwork Angel,1708,360
1260,Judy Rose,Handmaid's Tale,1973,4520
1261,Connie Howell,Crystal Caves,1942,4948
1262,Michelle Johnson,Mists of Avalon,1538,4680
1263,Diana Terry,Valley of Dreams,1948,4843
1264,Thomas Simmons,Forgotten Realm,1916,4765
1265,Melissa Hall,Beneath the Silver Moon,1930,652
1266,Diana Terry,Secret Garden,1571,4159
1267,Jessie Bowman,Art of Deception,1892,2029
1268,Christine Miles,Emerald Isle,1639,1570
1269,Rita Powell,Book of Miracles,1851,2919
1270,Robert Evans,Secret Society,1688,3966
1271,Diana Terry,Dance with Destiny,1794,4491
1272,Erin Gonzales,Warrior's Heart,1747,1016
1273,Ernest Torres,Hunger Games,1876,2210
1274,Megan Knight,Moonlit Path,1612,3244
1275,Diana Terry,Lovely Bones,1637,1463
1276,Teresa Ray,Shac,1921,1403
1277,Edward May,Girl with the Dragon Tattoo,1977,3257
1278,Tracey Walker,Glass Castle,1903,4263
1279,Timothy Griffin,Dark Tower,1777,2926
1280,Ashley Doyle,Book Thief,1570,1180
1281,Carol Sullivan,Emerald Isle,1990,2981
1282,Alberto Brown,Shadow of the Moon,1899,3490
1283,Lydia Martinez,Silver Lining,1748,227
1284,Barbara Farmer,River of Dreams,1849,3847
1285,Melissa Hall,Whispers in the Dark,1714,2238
1286,Timothy Griffin,Dragon's Lair,1887,2190
1287,Charles Johnson,Knight's Code,1819,3550
1288,Diane Robbins,Dragon's Eye,1787,4351
1289,Michelle Johnson,Enigma of Love,1584,4835
1290,Derrick Brady,Great Gatsby,1612,3047
1291,Judy Rose,Moonlit Path,1672,2295
1292,Erin Gonzales,Echoes of the Past,1915,4369
1293,Patricia Meyer,Ruby Red Door,1532,4487
1294,Laura Hernandez,Witching Hour,1781,1323
1295,Anthony Lee,Shades of Grey,1628,4387
1296,Jeffrey Williams,Girl with the Dragon Tattoo,1865,3720
1297,Cindy Gilbert,Whispering Wind,1545,1673
1298,Jeffrey Bowers,Queen's Gambit,1562,3947
1299,Maria Webb,Secret Key,1768,3869
1300,Victor Davis,Valley of Dreams,1618,1996
1301,Wayne Morrison,Tears of a Clown,1848,2863
1302,Ernest Torres,Rising Sun,1627,3122
1303,Tracey Walker,Dark Tower,1546,926
1304,Patrick Hall,Tears of the Moon,1759,1871
1305,Eva Wright,Beneath the Silver Moon,1831,1477
1306,Virginia Jackson,Midnight Garden,1638,4438
1307,Gary Johnson,Wonders of the World,1713,471
1308,Ella Harrison,Dance with Destiny,1575,2689
1309,Sherry Bennett,Forbidden Forest,1513,3359
1310,Richard Garcia,Maze Runner,1851,3600
1311,Laura Hernandez,Enigma of Love,1944,1323
1312,Christine Miles,White Queen,1592,4819
1313,Eva Wright,Forgotten Realm,1929,4271
1314,Michael Smith,Witch of Blackbird Pond,1752,962
1315,Linda Ward,Book Thief,1930,1955
1316,Sandra Craig,Alchemist,1785,1078
1317,Kenneth May,Dragon's Lair,1564,3919
1318,William Hamilton,Last Train Home,1960,945
1319,Victor Davis,Crown of Thorns,1562,2169
1320,Patricia Simpson,Golden Compass,1566,2525
1321,Daniel Craig,Black Cat,1594,769
1322,Erin Gonzales,Giver,1755,2265
1323,Paul Graham,Giver,1886,2980
1324,Diana Terry,Book Thief,1693,4448
1325,Jessie Bowman,Dragon's Roar,1891,2654
1326,Rosemary Lucas,Fault in Our Stars,1993,1570
1327,James Ross,Song of Achilles,1529,2483
1328,Ted Smith,Curse of the Pharaohs,1925,2528
1329,Tracey Walker,Emerald Isle,1926,1363
1330,Linda Ward,Lighthouse Keeper,1930,371
1331,Emily Moore,Moonlit Path,1770,635
1332,Wendy Walton,Handmaid's Tale,1901,4976
1333,Randy Parker,Edge of Tomorrow,1990,1768
1334,Jeffrey Williams,Wonders of the World,1553,2134
1335,Victoria Brown,Golden Child,1562,2618
1336,Barbara Farmer,Lost Kingdom,1555,873
1337,Jacqueline Brown,Knight's Code,2020,3811
1338,Richard Garcia,Valley of Dreams,1665,4251
1339,Linda Ward,Pirate's Treasure,1851,2938
1340,Sherry Bennett,Hunger Games,1757,2579
1341,Wendy Walton,Midnight Carnival,1504,4436
1342,Kenneth May,Mists of Avalon,1918,2212
1343,Mary Graham,Great Gatsby,1532,1718
1344,Richard Freeman,Forbidden Forest,1734,3207
1345,James Ross,Glass Castle,1623,3218
1346,Robert Barrett,Night Circus,1766,3699
1347,Timothy Griffin,Lighthouse Keeper,1771,592
1348,Janet Baldwin,Whispering Wind,2004,1137
1349,Beatrice Ortiz,Midnight Carnival,1868,912
1350,Carol Sullivan,Phantom of the Opera,1903,3262
1351,Gregory Gibbs,Blood of Our Fathers,1781,373
1352,Richard Garcia,Kite Runner,1913,874
1353,Judy Rose,Lost Kingdom,1644,1917
1354,Wayne Morrison,Queen's Necklace,1989,3359
1355,Lauren Holland,Lovely Bones,1657,2766
1356,Ernest Torres,Clockwork Angel,1917,264
1357,Thomas Simmons,Enigma of Love,1608,1894
1358,Michael Martinez,Crystal Caves,1733,1430
1359,Gary Johnson,Alchemist,1967,2614
1360,Gary Johnson,Blood Red Rose,1552,3906
1361,Jessie Bowman,Maze Runner,1561,1607
1362,Michelle Wis,Heart of the Forest,1964,1735
1363,William Ortiz,Secret Key,1767,4838
1364,Leah Manning,Secret Society,1992,990
1365,Anthony Lee,Warrior's Heart,1933,3473
1366,Ann Henderson,Alchemist,1837,4724
1367,John Thomas,Knight's Code,1933,1674
1368,Anthony Lee,In the Arms of the Sea,1704,3076
1369,Rosemary Lucas,Clockwork Angel,1513,1113
1370,Daniel Craig,Ruby Red Door,1676,1943
1371,Ann Henderson,Queen's Necklace,1807,899
1372,Bernard Brown,Art of Deception,1877,2584
1373,Robert Barrett,Clockwork Angel,1523,2730
1374,Laura Hernandez,White Queen,1538,1046
1375,Dana Huff,Shades of Grey,1521,2633
1376,Mary Abbott,Lost City of Atlantis,1996,755
1377,Gregory Gibbs,Dragon's Lair,1718,2379
1378,William Doyle,Help,1563,1356
1379,Timothy Griffin,Dragon's Roar,1656,1857
1380,Delores Brown,Golden Child,1655,2464
1381,James Hill,Book Thief,1561,1314
1382,Anthony Lee,Da Vinci Code,1520,1341
1383,Michael Patterson,Curse of the Pharaohs,1610,2466
1384,Linda Ward,Midnight Carnival,1591,2522
1385,Tracey Walker,Forgotten Realm,1685,296
1386,Kevin Ellis,Great Gatsby,2004,491
1387,Gary Johnson,Giver,2001,1742
1388,Eva Wright,Warrior's Heart,1869,2483
1389,Melissa Hall,Book of Miracles,1507,3021
1390,Michelle Johnson,Lost Kingdom,1834,228
1391,Kevin Ellis,Secrets We Keep,1700,1310
1392,John Thomas,Witch of Blackbird Pond,1765,2061
1393,Erin Gonzales,Song of Ice and Fire,1738,4393
1394,Erin Gonzales,Glass Castle,1610,2220
1395,Frances Rose,Giver,2014,4209
1396,Virginia Jackson,Mask of Deception,1591,2525
1397,Leonard Stevenson,Emerald Isle,1593,256
1398,Helen Hernandez,Shadow of the Moon,1724,3846
1399,Delores Brown,Song of Ice and Fire,1863,1895
1400,Teresa Ray,Hunger Games,1542,1198
1401,Mary Graham,Girl with the Dragon Tattoo,1837,1371
1402,Bernard Brown,Mask of Deception,2010,2288
1403,Emily Moore,Sands of Time,1826,2379
1404,Wendy Walton,Beyond the Horizon,1572,453
1405,Maria Webb,Fire Within,1732,4986
1406,Paul Graham,Echoes of the Past,1689,1490
1407,Gary Johnson,Dance with Destiny,1925,235
1408,Kenneth May,Echoes of the Past,1684,2879
1409,Juan Thompson,Silent Forest,1896,2656
1410,Gary Johnson,Road,1519,2220
1411,Juan Thompson,Whispering Wind,1671,3807
1412,Kelly Franklin,Dance with Destiny,1705,2031
1413,Kelly Franklin,Dance with Destiny,1511,1280
1414,Ella Harrison,Martian,1842,4975
1415,Jessie Bowman,Beneath the Silver Moon,1680,1048
1416,Kevin Ellis,White Queen,2012,1680
1417,Lydia Martinez,Glass Castle,1935,3393
1418,Ella Harrison,Lighthouse Keeper,1869,2813
1419,Evelyn Smith,Blood of Our Fathers,1566,1855
1420,Bernard Brown,Golden Compass,1651,3940
1421,Wendy Walton,Pirate's Treasure,1897,4301
1422,Howard Jenkins,Giver,1822,1104
1423,Erin Gonzales,Golden Child,1909,4666
1424,Wilma Jackson,Whispers in the Dark,1904,4873
1425,Jessie Bowman,In the Arms of the Sea,1514,4235
1426,Frances Rose,Book Thief,2002,3441
1427,Wayne Morrison,Black Cat,1803,3528
1428,Kimberly Medina,Echoes of the Past,1825,2933
1429,Kimberly Medina,Queen's Gambit,1639,2110
1430,James Ross,Dragon's Eye,1746,3405
1431,Linda Ward,Blood Red Rose,1546,3213
1432,Rosemary Lucas,Midnight Garden,1949,3926
1433,William Doyle,Book Thief,1981,2497
1434,Michael Patterson,Blood of Our Fathers,2001,453
1435,Sandra Craig,Secrets We Keep,1955,3694
1436,Anthony Lee,Golden Child,1577,3256
1437,Eric Davis,Phantom of the Opera,1652,3656
1438,William Hamilton,Lighthouse Keeper,1872,845
1439,William Hamilton,Valley of Dreams,1869,3142
1440,Sandra Craig,Lost Kingdom,1833,2850
1441,William Hamilton,Emerald City,1770,4930
1442,Paul White,Knight's Code,2022,1393
1443,Laura Hernandez,Echoes of the Past,1745,1771
1444,James Hill,Phantom of the Opera,1690,2114
1445,Christine Miles,Lost City of Atlantis,1707,3195
1446,Virginia Jackson,Lost Kingdom,1770,2842
1447,Richard Freeman,Silence of the Lambs,1719,326
1448,Sherry Bennett,Shadow of the Moon,1853,3139
1449,Eva Wright,Heart of the Forest,1960,1448
1450,William Doyle,Midnight Garden,1912,551
1451,Thomas Simmons,Mists of Avalon,1990,2158
1452,Beatrice Ortiz,Midnight Garden,1565,4784
1453,William Hamilton,In the Arms of the Sea,1513,1887
1454,Edward May,Song of Ice and Fire,1807,2063
1455,Alberto Brown,Lost Kingdom,1601,1255
1456,Michael Martinez,Lighthouse Keeper,1646,877
1457,Thomas Cain,Shadow of the Moon,1815,1453
1458,Ted Smith,Lost Kingdom,2003,4561
1459,Virginia Jackson,Girl with the Sapphire Eyes,1948,564
1460,Anthony Lee,Blood Red Rose,1558,1475
1461,Melissa Hall,Hunger Games,1559,2427
1462,Michelle Wis,Enchanted Castle,1731,4785
1463,Lauren Holland,Mask of Deception,1684,1937
1464,Rosemary Lucas,Wonders of the World,1657,3480
1465,Victoria Brown,Book of Miracles,1517,1033
1466,Gregory Gibbs,Valley of Dreams,1680,3771
1467,Richard Garcia,Handmaid's Tale,1949,4913
1468,Linda Ward,Secrets We Keep,1765,3853
1469,James Ross,Shades of Grey,1556,1115
1470,Michael Smith,Lost Kingdom,1539,455
1471,Anthony Davis,Edge of Tomorrow,1505,4589
1472,Victoria Brown,Enchanted Princess,1558,1729
1473,Ashley Doyle,Cursed Castle,1939,1669
1474,Erin Gonzales,Shades of Grey,1845,2065
1475,Rosemary Lucas,Dark Tower,1574,2678
1476,Virginia Jackson,Whispers in the Dark,1758,4039
1477,Eric Davis,Midnight Serenade,1769,1733
1478,Barbara Farmer,Tears of the Moon,1860,1655
1479,John Ryan,Enigma of Love,1754,3254
1480,Jeffrey Bowers,Secret Society,1720,3321
1481,Tracey Walker,Emerald City,1654,4990
1482,Kelly Franklin,Crown of Thorns,1971,1770
1483,Tyrone Evans,Island of Secrets,1964,2878
1484,Richard Freeman,Last Train Home,1523,3192
1485,Ashley Doyle,River of Dreams,1565,2926
1486,Christine Miles,Shadows of the Night,1969,237
1487,Jeffrey Williams,River of Dreams,1944,4008
1488,Ann Henderson,Enchanted Castle,1622,2133
1489,Rita Powell,Lord of the Rings,1568,4936
1490,Connie Howell,Martian,1859,3139
1491,Mary Abbott,Maze Runner,1812,2421
1492,Michael Patterson,Shades of Grey,1643,408
1493,Paul White,Night Circus,1827,4384
1494,John Ryan,Black Cat,1976,4839
1495,Kimberly Medina,Dragon's Lair,1641,1288
1496,Deanna Owens,Secrets We Keep,1715,4237
1497,Jacqueline Brown,Lost Kingdom,1617,1699
1498,Victoria Brown,Dragon's Eye,1881,4678
1499,Deanna Owens,Enchanted Princess,1589,191
1500,Carol Sullivan,Warrior's Heart,2010,2763
1501,William Doyle,Midnight Garden,1552,2039
1502,Patricia Simpson,Lost City of Atlantis,1875,3759
1503,Rosemary Lucas,Wonders of the World,1734,3853
1504,Ann Henderson,Knight's Code,1656,1438
1505,Connie Howell,Beneath the Silver Moon,1964,496
1506,Eva Wright,Island of Secrets,1994,4800
1507,Emily Moore,Alchemist,1909,1816
1508,Jeffrey Williams,Silver Lining,1942,1441
1509,Alberto Brown,Shac,1594,4497
1510,Carol Sullivan,Golden Child,1667,3834
1511,Kelly Franklin,Song of Ice and Fire,1718,2775
1512,Delores Brown,Moonlit Path,1526,1530
1513,Cindy Gilbert,Kite Runner,1752,3013
1514,James Hill,Road,1587,695
1515,Albert Mills,Secrets We Keep,1747,3600
1516,Emily Moore,Rising Sun,1602,146
1517,Nancy Horton,Secrets We Keep,1773,2485
1518,Victor Davis,Night Circus,1710,2168
1519,Alberto Brown,Sands of Time,1627,3812
1520,Kenneth May,Great Gatsby,1579,2735
1521,John Thomas,Handmaid's Tale,1809,1335
1522,Sandra Craig,Warrior's Heart,1588,3185
1523,Beatrice Ortiz,Queen's Gambit,1992,1796
1524,Jeffrey Williams,Golden Compass,1794,3330
1525,Ella Harrison,Pirate's Treasure,1597,3423
1526,Diane Robbins,Moonlit Path,1985,2350
1527,Teresa Ray,Clockwork Angel,1630,2526
1528,Hazel Greer,Emerald City,1505,202
1529,Melissa Hall,Girl on the Train,1675,369
1530,Lisa Rios,Pirate's Treasure,1890,474
1531,Anthony Davis,Road,1726,3986
1532,Frances Rose,Glass Castle,1670,3804
1533,Kenneth May,Secret Society,1794,3380
1534,James Ross,Lord of the Rings,1707,1361
1535,John Ryan,Lost Kingdom,1600,856
1536,Randy Parker,Rising Sun,1889,4012
1537,Nancy Horton,Secret Society,1718,3727
1538,Alberto Brown,Enchanted Castle,1824,2382
1539,Timothy Griffin,Last Train Home,1598,3197
1540,Leah Manning,Shadow of the Moon,1918,3882
1541,Richard Freeman,Night Circus,1984,3469
1542,Eric Davis,Emerald Isle,1808,2307
1543,William Hamilton,Girl with the Sapphire Eyes,2019,3663
1544,Patrick Hall,Midnight Carnival,1623,3550
1545,Carole Kelly,In the Arms of the Sea,1650,886
1546,Jeffrey Bowers,Girl with the Sapphire Eyes,2010,4724
1547,Rosemary Wright,Witch of Blackbird Pond,1618,4581
1548,Lisa Rios,Tears of a Clown,1879,3323
1549,Tyrone Evans,Pirate's Treasure,1859,1723
1550,Derrick Brady,Book of Miracles,1661,459
1551,Jacqueline Brown,Art of Deception,1739,2863
1552,Robert Barrett,Lovely Bones,1541,751
1553,Melissa Hall,Silent Forest,1913,840
1554,Robert Barrett,Book Thief,1649,1308
1555,Timothy Griffin,Girl on the Train,1576,3174
1556,Gary Johnson,Witching Hour,1903,604
1557,Wendy Walton,Art of Deception,1848,3776
1558,Wayne Morrison,Knight's Code,1995,1731
1559,William Ortiz,Glass Castle,1501,1334
1560,John Ryan,Secret Life of Bees,1866,4412
1561,Evelyn Smith,Road,1620,1112
1562,Albert Mills,Curse of the Pharaohs,1748,3687
1563,John Thomas,Wonders of the World,1778,634
1564,Wilma Jackson,Lovely Bones,1974,2079
1565,Victoria Brown,Lost Kingdom,1753,4622
1566,William Ortiz,Shadow of the Moon,1828,3730
1567,Erin Gonzales,Da Vinci Code,1796,254
1568,Helen Hernandez,River of Dreams,1613,2698
1569,Tracey Walker,Da Vinci Code,1577,2359
1570,Emily Moore,Knight's Code,1590,2138
1571,Christine Miles,Silver Lining,1980,4320
1572,Thomas Cain,Road,1843,3740
1573,Wendy Walton,Tears of the Moon,1697,2383
1574,Kenneth May,Fire Within,1873,3876
1575,Leah Manning,Dragon's Eye,1568,4380
1576,Melissa Hall,Silent Forest,1615,1614
1577,Hazel Greer,Golden Compass,1758,831
1578,Ann Henderson,Beneath the Silver Moon,1805,3436
1579,Leah Manning,Maze Runner,1825,845
1580,Diana Terry,Black Cat,1525,408
1581,Janet Baldwin,Emerald City,1541,963
1582,Lisa Rios,Crystal Caves,1554,2936
1583,Wilma Jackson,Tears of the Moon,1790,4882
1584,Mary Graham,Golden Child,1690,1306
1585,Robert Barrett,Fire Within,1538,1422
1586,Leah Manning,Lost Kingdom,2019,1552
1587,Howard Jenkins,Moonlit Path,2014,2710
1588,Ted Smith,Dance with Destiny,1993,501
1589,Beatrice Ortiz,Lovely Bones,1974,3551
1590,Gregory Gibbs,Lost City of Atlantis,1849,1129
1591,William Ortiz,Blood Red Rose,1750,4786
1592,Eric Davis,Last Train Home,1944,2549
1593,Teresa Ray,Giver,1648,2447
1594,Michael Smith,Dance with Destiny,1749,1177
1595,Emily Moore,Secrets We Keep,1555,1348
1596,Judy Rose,Phantom of the Opera,1529,3778
1597,Beatrice Ortiz,Mists of Avalon,1630,4766
1598,Lauren Holland,Secret Life of Bees,1581,149
1599,Eric Davis,Giver,1602,895
1600,Alberto Brown,Moonlit Path,1727,2531
1601,Diana Terry,Silence of the Lambs,1590,4280
1602,Anthony Lee,Secret Life of Bees,1872,2901
1603,Deanna Owens,Martian,1800,2570
1604,Megan Knight,Island of Secrets,1508,1608
1605,William Hamilton,Great Gatsby,1955,2697
1606,James Ross,Golden Child,1916,2924
1607,Howard Jenkins,Last Train Home,1536,4838
1608,Maria Webb,Golden Compass,1695,4576
1609,Wayne Morrison,In the Arms of the Sea,1588,2770
1610,Sandra Craig,Shadow of the Moon,1656,1099
1611,Tracey Walker,Lost Kingdom,1533,2258
1612,Anthony Lee,Tears of the Moon,1525,4509
1613,Richard Garcia,Shades of Grey,1990,1631
1614,Kimberly Medina,Alchemist,1690,547
1615,Ted Smith,Pirate's Treasure,1597,2538
1616,Helen Hernandez,Emerald City,1605,3123
1617,Rosemary Lucas,Secret Life of Bees,1544,1052
1618,Robert Barrett,Clockwork Angel,1744,3189
1619,Michael Smith,Art of Deception,1649,395
1620,Victor Davis,Lovely Bones,1968,3676
1621,Carol Sullivan,Lost City of Atlantis,1930,1213
1622,Victoria Brown,Fault in Our Stars,1865,4636
1623,Anthony Davis,Forbidden Forest,1842,836
1624,Alberto Brown,Last Voyage,1713,2125
1625,Delores Brown,Tears of the Moon,1614,1506
1626,Charles Johnson,Lost City of Atlantis,1509,2774
1627,Ted Smith,Curse of the Pharaohs,1925,4399
1628,Kevin Ellis,Last Voyage,1876,1370
1629,Anthony Lee,Heart of the Forest,1859,884
1630,Carole Kelly,Midnight Carnival,1822,930
1631,William Ortiz,Moonlit Path,1815,3883
1632,Cindy Gilbert,Girl with the Dragon Tattoo,1871,1488
1633,Lauren Holland,Echoes of the Past,1675,806
1634,William Hamilton,Edge of Tomorrow,1742,4192
1635,Carole Kelly,Sands of Time,1701,3618
1636,Lydia Martinez,Dragon's Eye,1737,3297
1637,Evelyn Smith,Phantom of the Opera,1665,433
1638,Cindy Gilbert,Secret Garden,1568,3224
1639,Leonard Stevenson,Shadows of the Night,1760,3680
1640,Daniel Craig,Tears of a Clown,1883,683
1641,Janet Baldwin,Pirate's Treasure,1730,3148
1642,Michelle Wis,Art of Deception,1930,2394
1643,Michael Smith,Blood Red Rose,1932,3838
1644,Wendy Walton,Ruby Red Door,1630,1520
1645,Eric Davis,Hunger Games,1816,2593
1646,Virginia Jackson,Time Traveler's Wife,1836,3829
1647,Delores Brown,Handmaid's Tale,1951,4779
1648,Linda Ward,Lost Kingdom,1924,1939
1649,Laura Hernandez,Queen's Necklace,1909,3872
1650,Daniel Craig,Shades of Grey,1811,4797
1651,Patricia Simpson,Lovely Bones,1505,1852
1652,William Ortiz,Kite Runner,1954,163
1653,Laura Hernandez,Girl with the Sapphire Eyes,2013,1158
1654,Eva Wright,Lost City of Atlantis,1548,2703
1655,Nancy Horton,Warrior's Heart,1671,3829
1656,Anthony Davis,Dragon's Roar,1750,3112
1657,Eric Davis,Queen's Necklace,1982,3486
1658,Michelle Wis,Art of Deception,1539,732
1659,Eva Wright,Dance with Destiny,1746,4021
1660,Erin Gonzales,Secrets We Keep,1868,2104
1661,Michelle Johnson,Witch of Blackbird Pond,2000,4493
1662,Connie Howell,Dance with Destiny,1525,2512
1663,Frances Rose,Blood of Our Fathers,1687,2008
1664,Richard Garcia,Midnight Carnival,1787,3440
1665,Maria Webb,Clockwork Angel,1894,1997
1666,Kenneth May,Black Cat,1947,4223
1667,Gregory Gibbs,Martian,1885,1576
1668,Derrick Brady,Road,1815,3413
1669,Connie Howell,Lovely Bones,1681,2649
1670,Robert Evans,Shadows of the Night,1695,407
1671,Maria Webb,In the Arms of the Sea,1894,249
1672,Ernest Torres,Secret Garden,1789,2685
1673,Tyrone Evans,Knight's Code,1723,663
